n,degF,degG,degMAX,degOUT,tINITIALISE,tEVALUATE,tMULTIPLY,tCONSTRUCT,tRETURN,tTOTAL,CORRECTNESS
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,9,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
200000033,0,1,1,1,0,0,0,0,0,0,1
200000033,1,1,1,2,0,0,0,0,0,0,1
200000033,2,2,2,4,0,0,0,0,0,0,1
200000033,4,4,4,8,0,0,0,0,0,0,1
200000033,8,8,8,16,0,0,0,0,0,0,1
200000033,16,16,16,32,0,0,0,0,0,0,1
200000033,1,32,32,33,0,0,0,0,0,0,1
200000033,32,32,32,64,0,0,0,0,0,0,1
200000033,64,64,64,128,0,0,0,0,0,0,1
200000033,128,128,128,256,0,0,0,1,0,1,1
200000033,256,256,256,512,0,0,0,5,0,6,1
200000033,33,371,371,404,0,0,0,3,0,4,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,11,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,11,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,11,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,22,0,24,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,11,0,13,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,11,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
200000033,371,371,371,742,0,1,0,10,0,12,1
9999954997,0,1,1,1,0,0,0,0,0,0,1
9999954997,1,1,1,2,0,0,0,0,0,0,1
9999954997,2,2,2,4,0,0,0,0,0,0,1
9999954997,1,4,4,5,0,0,0,0,0,0,1
9999954997,4,4,4,8,0,0,0,0,0,0,1
9999954997,8,8,8,16,0,0,0,0,0,0,1
9999954997,5,16,16,21,0,0,0,0,0,0,1
9999954997,16,16,16,32,0,0,0,0,0,0,1
9999954997,21,32,32,53,0,0,0,0,0,0,1
9999954997,32,32,32,64,0,0,0,0,0,0,1
9999954997,64,64,64,128,0,0,0,0,0,0,1
9999954997,128,128,128,256,0,0,0,2,0,2,1
9999954997,256,256,256,512,0,1,0,10,0,11,1
9999954997,512,512,512,1024,0,3,0,32,0,35,1
9999954997,53,541,541,594,0,1,0,11,0,13,1
9999954997,541,541,541,1082,0,3,0,35,0,39,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,35,0,39,1
9999954997,541,541,541,1082,0,3,0,35,0,39,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,35,0,39,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,35,0,39,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,36,0,39,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,36,0,39,1
9999954997,541,541,541,1082,0,3,0,34,0,38,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,36,0,40,1
9999954997,541,541,541,1082,0,3,0,37,0,41,1
9999954997,541,541,541,1082,0,3,0,36,0,41,1
9999954997,541,541,541,1082,0,3,0,37,0,41,1
9999954997,541,541,541,1082,0,3,0,35,0,39,1
